sl_no,branch,sem,code,course_name,reg_no,name,credits
88,AI&DS,7,U23CB103,U23CB103 - Computer Science & Business Systems (Sem 7),722823243090,Kavya V,3
89,AI&DS,7,U23CB104,U23CB104 - Computer Science & Business Systems (Sem 7),722823243090,Kavya V,3
90,AI&DS,7,U23AM586,U23AM586 - Machine Learning & Neural Networks (Sem 7),722823243090,Kavya V,3
91,AI&DS,7,U23OME06,U23OME06 - AI&DS Core Subject (Sem 7),722823243090,Kavya V,3
92,AI&DS,7,U23AD511,U23AD511 - Artificial Intelligence & Data Science (Sem 7),722823243090,Kavya V,3
93,AI&DS,5,U23AD401,U23AD401 - Artificial Intelligence & Data Science (Sem 5),722824243311,Elango R,3
94,AI&DS,5,U23AD484,U23AD484 - Artificial Intelligence & Data Science (Sem 5),722824243311,Elango R,3
95,AI&DS,5,U23IT484,U23IT484 - Information Technology & Cloud Systems (Sem 5),722824243311,Elango R,3
96,AI&DS,5,U23AM491,U23AM491 - Machine Learning & Neural Networks (Sem 5),722824243311,Elango R,3
97,AI&DS,5,U23CB593,U23CB593 - Computer Science & Business Systems (Sem 5),722824243311,Elango R,3
98,AI&DS,5,U23EC384,U23EC384 - Electronics & Communication Systems (Sem 5),722824243311,Elango R,3
99,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243004,Kavya K,3
100,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243004,Kavya K,3
101,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243004,Kavya K,3
102,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243004,Kavya K,3
103,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243004,Kavya K,3
104,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243004,Kavya K,3
105,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243056,Chandran N,3
106,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243056,Chandran N,3
107,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243056,Chandran N,3
108,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243056,Chandran N,3
109,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243056,Chandran N,3
110,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243056,Chandran N,3
111,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243243,Deepak P,3
112,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243243,Deepak P,3
113,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243243,Deepak P,3
114,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243243,Deepak P,3
115,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243243,Deepak P,3
116,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243243,Deepak P,3
117,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243023,Lakshmi A,3
118,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243023,Lakshmi A,3
119,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243023,Lakshmi A,3
120,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243023,Lakshmi A,3
121,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243023,Lakshmi A,3
122,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243023,Lakshmi A,3
123,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243103,Jayant M,3
124,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243103,Jayant M,3
125,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243103,Jayant M,3
126,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243103,Jayant M,3
127,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243103,Jayant M,3
128,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243103,Jayant M,3
129,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243109,Pavithra T,3
130,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243109,Pavithra T,3
131,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243109,Pavithra T,3
132,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243109,Pavithra T,3
133,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243109,Pavithra T,3
134,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243109,Pavithra T,3
135,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243234,Deepak N,3
136,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243234,Deepak N,3
137,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243234,Deepak N,3
138,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243234,Deepak N,3
139,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243234,Deepak N,3
140,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243234,Deepak N,3
141,AI&DS,7,U23CB103,U23CB103 - Computer Science & Business Systems (Sem 7),722823243032,Chandran T,3
142,AI&DS,7,U23CB104,U23CB104 - Computer Science & Business Systems (Sem 7),722823243032,Chandran T,3
143,AI&DS,7,U23AM586,U23AM586 - Machine Learning & Neural Networks (Sem 7),722823243032,Chandran T,3
144,AI&DS,7,U23OME06,U23OME06 - AI&DS Core Subject (Sem 7),722823243032,Chandran T,3
145,AI&DS,7,U23AD511,U23AD511 - Artificial Intelligence & Data Science (Sem 7),722823243032,Chandran T,3
146,AI&DS,7,U23CB103,U23CB103 - Computer Science & Business Systems (Sem 7),722823243110,Karthik A,3
147,AI&DS,7,U23CB104,U23CB104 - Computer Science & Business Systems (Sem 7),722823243110,Karthik A,3
148,AI&DS,7,U23AM586,U23AM586 - Machine Learning & Neural Networks (Sem 7),722823243110,Karthik A,3
149,AI&DS,7,U23OME06,U23OME06 - AI&DS Core Subject (Sem 7),722823243110,Karthik A,3
150,AI&DS,7,U23AD511,U23AD511 - Artificial Intelligence & Data Science (Sem 7),722823243110,Karthik A,3
151,AI&DS,7,U23CB103,U23CB103 - Computer Science & Business Systems (Sem 7),722823243106,Lakshmi A,3
152,AI&DS,7,U23CB104,U23CB104 - Computer Science & Business Systems (Sem 7),722823243106,Lakshmi A,3
153,AI&DS,7,U23AM586,U23AM586 - Machine Learning & Neural Networks (Sem 7),722823243106,Lakshmi A,3
154,AI&DS,7,U23OME06,U23OME06 - AI&DS Core Subject (Sem 7),722823243106,Lakshmi A,3
155,AI&DS,7,U23AD511,U23AD511 - Artificial Intelligence & Data Science (Sem 7),722823243106,Lakshmi A,3
156,AI&DS,5,U23AD401,U23AD401 - Artificial Intelligence & Data Science (Sem 5),722824243187,Harini K,3
157,AI&DS,5,U23AD484,U23AD484 - Artificial Intelligence & Data Science (Sem 5),722824243187,Harini K,3
158,AI&DS,5,U23IT484,U23IT484 - Information Technology & Cloud Systems (Sem 5),722824243187,Harini K,3
159,AI&DS,5,U23AM491,U23AM491 - Machine Learning & Neural Networks (Sem 5),722824243187,Harini K,3
160,AI&DS,5,U23CB593,U23CB593 - Computer Science & Business Systems (Sem 5),722824243187,Harini K,3
161,AI&DS,5,U23EC384,U23EC384 - Electronics & Communication Systems (Sem 5),722824243187,Harini K,3
162,AI&DS,5,U23AD401,U23AD401 - Artificial Intelligence & Data Science (Sem 5),722824243067,Bhavana R,3
163,AI&DS,5,U23AD484,U23AD484 - Artificial Intelligence & Data Science (Sem 5),722824243067,Bhavana R,3
164,AI&DS,5,U23IT484,U23IT484 - Information Technology & Cloud Systems (Sem 5),722824243067,Bhavana R,3
165,AI&DS,5,U23AM491,U23AM491 - Machine Learning & Neural Networks (Sem 5),722824243067,Bhavana R,3
166,AI&DS,5,U23CB593,U23CB593 - Computer Science & Business Systems (Sem 5),722824243067,Bhavana R,3
167,AI&DS,5,U23EC384,U23EC384 - Electronics & Communication Systems (Sem 5),722824243067,Bhavana R,3
168,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243011,Karthik K,3
169,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243011,Karthik K,3
170,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243011,Karthik K,3
171,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243011,Karthik K,3
172,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243011,Karthik K,3
173,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243011,Karthik K,3
174,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243029,Ishwarya K,3
175,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243029,Ishwarya K,3
176,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243029,Ishwarya K,3
177,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243029,Ishwarya K,3
178,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243029,Ishwarya K,3
179,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243029,Ishwarya K,3
180,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243041,Manoj V,3
181,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243041,Manoj V,3
182,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243041,Manoj V,3
183,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243041,Manoj V,3
184,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243041,Manoj V,3
185,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243041,Manoj V,3
186,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243059,Pavithra P,3
187,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243059,Pavithra P,3
188,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243059,Pavithra P,3
189,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243059,Pavithra P,3
190,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243059,Pavithra P,3
191,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243059,Pavithra P,3
192,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243064,Gokul P,3
193,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243064,Gokul P,3
194,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243064,Gokul P,3
195,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243064,Gokul P,3
196,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243064,Gokul P,3
197,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243064,Gokul P,3
198,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243067,Lakshmi R,3
199,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243067,Lakshmi R,3
200,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243067,Lakshmi R,3
201,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243067,Lakshmi R,3
202,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243067,Lakshmi R,3
203,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243067,Lakshmi R,3
204,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243106,Jayant K,3
205,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243106,Jayant K,3
206,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243106,Jayant K,3
207,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243106,Jayant K,3
208,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243106,Jayant K,3
209,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243106,Jayant K,3
210,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243115,Yash S,3
211,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243115,Yash S,3
212,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243115,Yash S,3
213,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243115,Yash S,3
214,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243115,Yash S,3
215,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243115,Yash S,3
216,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243119,Swetha R,3
217,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243119,Swetha R,3
218,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243119,Swetha R,3
219,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243119,Swetha R,3
220,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243119,Swetha R,3
221,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243119,Swetha R,3
222,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243139,Gokul B,3
223,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243139,Gokul B,3
224,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243139,Gokul B,3
225,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243139,Gokul B,3
226,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243139,Gokul B,3
227,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243139,Gokul B,3
228,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243151,Manoj V,3
229,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243151,Manoj V,3
230,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243151,Manoj V,3
231,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243151,Manoj V,3
232,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243151,Manoj V,3
233,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243151,Manoj V,3
234,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243200,Swetha R,3
235,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243200,Swetha R,3
236,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243200,Swetha R,3
237,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243200,Swetha R,3
238,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243200,Swetha R,3
239,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243200,Swetha R,3
240,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243212,Kavya M,3
241,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243212,Kavya M,3
242,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243212,Kavya M,3
243,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243212,Kavya M,3
244,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243212,Kavya M,3
245,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243212,Kavya M,3
246,AI&DS,3,U23MA204,U23MA204 - Advanced Mathematics & Statistics (Sem 3),722825243219,Ishwarya M,3
247,AI&DS,3,U23CS403,U23CS403 - Computer Science & Software Systems (Sem 3),722825243219,Ishwarya M,3
248,AI&DS,3,U23CS404,U23CS404 - Computer Science & Software Systems (Sem 3),722825243219,Ishwarya M,3
249,AI&DS,3,U23EC382,U23EC382 - Electronics & Communication Systems (Sem 3),722825243219,Ishwarya M,3
250,AI&DS,3,U23CS491,U23CS491 - Computer Science & Software Systems (Sem 3),722825243219,Ishwarya M,3
251,AI&DS,3,U23AD491,U23AD491 - Artificial Intelligence & Data Science (Sem 3),722825243219,Ishwarya M,3
