name,reg_no,course_code,course_name,semester,branch,section,difficulty
Ganesh Murugan,24CS021,EN101,English Communication,1,CSE,A,easy
Ganesh Murugan,24CS021,CS102,Digital Fundamentals,1,CSE,A,medium
Harini Subramaniam,24CS022,MA101,Engineering Mathematics I,1,CSE,A,medium
Harini Subramaniam,24CS022,PH101,Engineering Physics,1,CSE,A,easy
Harini Subramaniam,24CS022,CS101,Problem Solving & C,1,CSE,A,hard
Harini Subramaniam,24CS022,EN101,English Communication,1,CSE,A,easy
Harini Subramaniam,24CS022,CS102,Digital Fundamentals,1,CSE,A,medium
Sindhu Ramasamy,24CS023,MA101,Engineering Mathematics I,1,CSE,A,medium
Sindhu Ramasamy,24CS023,PH101,Engineering Physics,1,CSE,A,easy
Sindhu Ramasamy,24CS023,CS101,Problem Solving & C,1,CSE,A,hard
Sindhu Ramasamy,24CS023,EN101,English Communication,1,CSE,A,easy
Sindhu Ramasamy,24CS023,CS102,Digital Fundamentals,1,CSE,A,medium
Priya Srinivasan,24CS024,MA101,Engineering Mathematics I,1,CSE,A,medium
Priya Srinivasan,24CS024,PH101,Engineering Physics,1,CSE,A,easy
Priya Srinivasan,24CS024,CS101,Problem Solving & C,1,CSE,A,hard
Priya Srinivasan,24CS024,EN101,English Communication,1,CSE,A,easy
Priya Srinivasan,24CS024,CS102,Digital Fundamentals,1,CSE,A,medium
Arjun Chandrasekaran,24CS025,MA101,Engineering Mathematics I,1,CSE,A,medium
Arjun Chandrasekaran,24CS025,PH101,Engineering Physics,1,CSE,A,easy
Arjun Chandrasekaran,24CS025,CS101,Problem Solving & C,1,CSE,A,hard
Arjun Chandrasekaran,24CS025,EN101,English Communication,1,CSE,A,easy
Arjun Chandrasekaran,24CS025,CS102,Digital Fundamentals,1,CSE,A,medium
Zara Venkatesh,24CS026,MA101,Engineering Mathematics I,1,CSE,A,medium
Zara Venkatesh,24CS026,PH101,Engineering Physics,1,CSE,A,easy
Zara Venkatesh,24CS026,CS101,Problem Solving & C,1,CSE,A,hard
Zara Venkatesh,24CS026,EN101,English Communication,1,CSE,A,easy
Zara Venkatesh,24CS026,CS102,Digital Fundamentals,1,CSE,A,medium
Ishita Thangavel,24CS027,MA101,Engineering Mathematics I,1,CSE,A,medium
Ishita Thangavel,24CS027,PH101,Engineering Physics,1,CSE,A,easy
Ishita Thangavel,24CS027,CS101,Problem Solving & C,1,CSE,A,hard
Ishita Thangavel,24CS027,EN101,English Communication,1,CSE,A,easy
Ishita Thangavel,24CS027,CS102,Digital Fundamentals,1,CSE,A,medium
Tamil Patel,24CS028,MA101,Engineering Mathematics I,1,CSE,A,medium
Tamil Patel,24CS028,PH101,Engineering Physics,1,CSE,A,easy
Tamil Patel,24CS028,CS101,Problem Solving & C,1,CSE,A,hard
Tamil Patel,24CS028,EN101,English Communication,1,CSE,A,easy
Tamil Patel,24CS028,CS102,Digital Fundamentals,1,CSE,A,medium
Logesh Krishnan,24CS029,MA101,Engineering Mathematics I,1,CSE,A,medium
Logesh Krishnan,24CS029,PH101,Engineering Physics,1,CSE,A,easy
Logesh Krishnan,24CS029,CS101,Problem Solving & C,1,CSE,A,hard
Logesh Krishnan,24CS029,EN101,English Communication,1,CSE,A,easy
Logesh Krishnan,24CS029,CS102,Digital Fundamentals,1,CSE,A,medium
Venkat Duraisamy,24CS030,MA101,Engineering Mathematics I,1,CSE,A,medium
Venkat Duraisamy,24CS030,PH101,Engineering Physics,1,CSE,A,easy
Venkat Duraisamy,24CS030,CS101,Problem Solving & C,1,CSE,A,hard
Venkat Duraisamy,24CS030,EN101,English Communication,1,CSE,A,easy
Venkat Duraisamy,24CS030,CS102,Digital Fundamentals,1,CSE,A,medium
Suresh Balasubramanian,24CS031,MA101,Engineering Mathematics I,1,CSE,A,medium
Suresh Balasubramanian,24CS031,PH101,Engineering Physics,1,CSE,A,easy
Suresh Balasubramanian,24CS031,CS101,Problem Solving & C,1,CSE,A,hard
Suresh Balasubramanian,24CS031,EN101,English Communication,1,CSE,A,easy
Suresh Balasubramanian,24CS031,CS102,Digital Fundamentals,1,CSE,A,medium
Manoj Anand,24CS032,MA101,Engineering Mathematics I,1,CSE,A,medium
Manoj Anand,24CS032,PH101,Engineering Physics,1,CSE,A,easy
Manoj Anand,24CS032,CS101,Problem Solving & C,1,CSE,A,hard
Manoj Anand,24CS032,EN101,English Communication,1,CSE,A,easy
Manoj Anand,24CS032,CS102,Digital Fundamentals,1,CSE,A,medium
Deepak Sharma,24CS033,MA101,Engineering Mathematics I,1,CSE,A,medium
Deepak Sharma,24CS033,PH101,Engineering Physics,1,CSE,A,easy
Deepak Sharma,24CS033,CS101,Problem Solving & C,1,CSE,A,hard
Deepak Sharma,24CS033,EN101,English Communication,1,CSE,A,easy
Deepak Sharma,24CS033,CS102,Digital Fundamentals,1,CSE,A,medium
Nithya Raghavan,24CS034,MA101,Engineering Mathematics I,1,CSE,A,medium
Nithya Raghavan,24CS034,PH101,Engineering Physics,1,CSE,A,easy
Nithya Raghavan,24CS034,CS101,Problem Solving & C,1,CSE,A,hard
Nithya Raghavan,24CS034,EN101,English Communication,1,CSE,A,easy
Nithya Raghavan,24CS034,CS102,Digital Fundamentals,1,CSE,A,medium
Ramya Patel,24CS035,MA101,Engineering Mathematics I,1,CSE,A,medium
Ramya Patel,24CS035,PH101,Engineering Physics,1,CSE,A,easy
Ramya Patel,24CS035,CS101,Problem Solving & C,1,CSE,A,hard
Ramya Patel,24CS035,EN101,English Communication,1,CSE,A,easy
Ramya Patel,24CS035,CS102,Digital Fundamentals,1,CSE,A,medium
Nithya Palaniswamy,24CS036,MA101,Engineering Mathematics I,1,CSE,A,medium
Nithya Palaniswamy,24CS036,PH101,Engineering Physics,1,CSE,A,easy
Nithya Palaniswamy,24CS036,CS101,Problem Solving & C,1,CSE,A,hard
Nithya Palaniswamy,24CS036,EN101,English Communication,1,CSE,A,easy
Nithya Palaniswamy,24CS036,CS102,Digital Fundamentals,1,CSE,A,medium
Harini Murugan,24CS037,MA101,Engineering Mathematics I,1,CSE,A,medium
Harini Murugan,24CS037,PH101,Engineering Physics,1,CSE,A,easy
Harini Murugan,24CS037,CS101,Problem Solving & C,1,CSE,A,hard
Harini Murugan,24CS037,EN101,English Communication,1,CSE,A,easy
Harini Murugan,24CS037,CS102,Digital Fundamentals,1,CSE,A,medium
Raja Pandian,24CS038,MA101,Engineering Mathematics I,1,CSE,A,medium
Raja Pandian,24CS038,PH101,Engineering Physics,1,CSE,A,easy
Raja Pandian,24CS038,CS101,Problem Solving & C,1,CSE,A,hard
Raja Pandian,24CS038,EN101,English Communication,1,CSE,A,easy
Raja Pandian,24CS038,CS102,Digital Fundamentals,1,CSE,A,medium
Suresh Nair,24CS039,MA101,Engineering Mathematics I,1,CSE,A,medium
Suresh Nair,24CS039,PH101,Engineering Physics,1,CSE,A,easy
Suresh Nair,24CS039,CS101,Problem Solving & C,1,CSE,A,hard
Suresh Nair,24CS039,EN101,English Communication,1,CSE,A,easy
Suresh Nair,24CS039,CS102,Digital Fundamentals,1,CSE,A,medium
Swetha Subramaniam,24CS040,MA101,Engineering Mathematics I,1,CSE,A,medium
Swetha Subramaniam,24CS040,PH101,Engineering Physics,1,CSE,A,easy
Swetha Subramaniam,24CS040,CS101,Problem Solving & C,1,CSE,A,hard
Swetha Subramaniam,24CS040,EN101,English Communication,1,CSE,A,easy
Swetha Subramaniam,24CS040,CS102,Digital Fundamentals,1,CSE,A,medium
Mohan Sundar,24CS041,MA101,Engineering Mathematics I,1,CSE,A,medium
Mohan Sundar,24CS041,PH101,Engineering Physics,1,CSE,A,easy
Mohan Sundar,24CS041,CS101,Problem Solving & C,1,CSE,A,hard
Mohan Sundar,24CS041,EN101,English Communication,1,CSE,A,easy
Mohan Sundar,24CS041,CS102,Digital Fundamentals,1,CSE,A,medium
Rahul Anand,24CS042,MA101,Engineering Mathematics I,1,CSE,A,medium
Rahul Anand,24CS042,PH101,Engineering Physics,1,CSE,A,easy
Rahul Anand,24CS042,CS101,Problem Solving & C,1,CSE,A,hard
Rahul Anand,24CS042,EN101,English Communication,1,CSE,A,easy
Rahul Anand,24CS042,CS102,Digital Fundamentals,1,CSE,A,medium
Deepika Ramasamy,24CS043,MA101,Engineering Mathematics I,1,CSE,A,medium
Deepika Ramasamy,24CS043,PH101,Engineering Physics,1,CSE,A,easy
Deepika Ramasamy,24CS043,CS101,Problem Solving & C,1,CSE,A,hard
Deepika Ramasamy,24CS043,EN101,English Communication,1,CSE,A,easy
Deepika Ramasamy,24CS043,CS102,Digital Fundamentals,1,CSE,A,medium
Kumar Venkatesh,24CS044,MA101,Engineering Mathematics I,1,CSE,A,medium
Kumar Venkatesh,24CS044,PH101,Engineering Physics,1,CSE,A,easy
Kumar Venkatesh,24CS044,CS101,Problem Solving & C,1,CSE,A,hard
Kumar Venkatesh,24CS044,EN101,English Communication,1,CSE,A,easy
Kumar Venkatesh,24CS044,CS102,Digital Fundamentals,1,CSE,A,medium
Pradeep Nair,24CS045,MA101,Engineering Mathematics I,1,CSE,A,medium
Pradeep Nair,24CS045,PH101,Engineering Physics,1,CSE,A,easy
Pradeep Nair,24CS045,CS101,Problem Solving & C,1,CSE,A,hard
Pradeep Nair,24CS045,EN101,English Communication,1,CSE,A,easy
Pradeep Nair,24CS045,CS102,Digital Fundamentals,1,CSE,A,medium
Arun Murugan,24CS046,MA101,Engineering Mathematics I,1,CSE,A,medium
Arun Murugan,24CS046,PH101,Engineering Physics,1,CSE,A,easy
Arun Murugan,24CS046,CS101,Problem Solving & C,1,CSE,A,hard
Arun Murugan,24CS046,EN101,English Communication,1,CSE,A,easy
Arun Murugan,24CS046,CS102,Digital Fundamentals,1,CSE,A,medium
Rahul Thangavel,24CS047,MA101,Engineering Mathematics I,1,CSE,A,medium
Rahul Thangavel,24CS047,PH101,Engineering Physics,1,CSE,A,easy
Rahul Thangavel,24CS047,CS101,Problem Solving & C,1,CSE,A,hard
Rahul Thangavel,24CS047,EN101,English Communication,1,CSE,A,easy
Rahul Thangavel,24CS047,CS102,Digital Fundamentals,1,CSE,A,medium
Madhan Iyer,24CS048,MA101,Engineering Mathematics I,1,CSE,A,medium
Madhan Iyer,24CS048,PH101,Engineering Physics,1,CSE,A,easy
Madhan Iyer,24CS048,CS101,Problem Solving & C,1,CSE,A,hard
Madhan Iyer,24CS048,EN101,English Communication,1,CSE,A,easy
Madhan Iyer,24CS048,CS102,Digital Fundamentals,1,CSE,A,medium
Saravanan Muthukumar,24CS049,MA101,Engineering Mathematics I,1,CSE,A,medium
Saravanan Muthukumar,24CS049,PH101,Engineering Physics,1,CSE,A,easy
Saravanan Muthukumar,24CS049,CS101,Problem Solving & C,1,CSE,A,hard
Saravanan Muthukumar,24CS049,EN101,English Communication,1,CSE,A,easy
Saravanan Muthukumar,24CS049,CS102,Digital Fundamentals,1,CSE,A,medium
Bhavya Iyer,24CS050,MA101,Engineering Mathematics I,1,CSE,A,medium
Bhavya Iyer,24CS050,PH101,Engineering Physics,1,CSE,A,easy
Bhavya Iyer,24CS050,CS101,Problem Solving & C,1,CSE,A,hard
Bhavya Iyer,24CS050,EN101,English Communication,1,CSE,A,easy
Bhavya Iyer,24CS050,CS102,Digital Fundamentals,1,CSE,A,medium
Anjali Srinivasan,24CS051,MA101,Engineering Mathematics I,1,CSE,A,medium
Anjali Srinivasan,24CS051,PH101,Engineering Physics,1,CSE,A,easy
Anjali Srinivasan,24CS051,CS101,Problem Solving & C,1,CSE,A,hard
Anjali Srinivasan,24CS051,EN101,English Communication,1,CSE,A,easy
Anjali Srinivasan,24CS051,CS102,Digital Fundamentals,1,CSE,A,medium
Sanjay Murugan,24CS052,MA101,Engineering Mathematics I,1,CSE,A,medium
Sanjay Murugan,24CS052,PH101,Engineering Physics,1,CSE,A,easy
Sanjay Murugan,24CS052,CS101,Problem Solving & C,1,CSE,A,hard
Sanjay Murugan,24CS052,EN101,English Communication,1,CSE,A,easy
Sanjay Murugan,24CS052,CS102,Digital Fundamentals,1,CSE,A,medium
Rahul Patel,24CS053,MA101,Engineering Mathematics I,1,CSE,A,medium
Rahul Patel,24CS053,PH101,Engineering Physics,1,CSE,A,easy
Rahul Patel,24CS053,CS101,Problem Solving & C,1,CSE,A,hard
Rahul Patel,24CS053,EN101,English Communication,1,CSE,A,easy
Rahul Patel,24CS053,CS102,Digital Fundamentals,1,CSE,A,medium
Nandini Thangavel,24CS054,MA101,Engineering Mathematics I,1,CSE,A,medium
Nandini Thangavel,24CS054,PH101,Engineering Physics,1,CSE,A,easy
Nandini Thangavel,24CS054,CS101,Problem Solving & C,1,CSE,A,hard
Nandini Thangavel,24CS054,EN101,English Communication,1,CSE,A,easy
Nandini Thangavel,24CS054,CS102,Digital Fundamentals,1,CSE,A,medium
Nandhini Duraisamy,24CS055,MA101,Engineering Mathematics I,1,CSE,A,medium
Nandhini Duraisamy,24CS055,PH101,Engineering Physics,1,CSE,A,easy
Nandhini Duraisamy,24CS055,CS101,Problem Solving & C,1,CSE,A,hard
Nandhini Duraisamy,24CS055,EN101,English Communication,1,CSE,A,easy
Nandhini Duraisamy,24CS055,CS102,Digital Fundamentals,1,CSE,A,medium
Sanjay Pillai,24CS056,MA101,Engineering Mathematics I,1,CSE,A,medium
Sanjay Pillai,24CS056,PH101,Engineering Physics,1,CSE,A,easy
Sanjay Pillai,24CS056,CS101,Problem Solving & C,1,CSE,A,hard
Sanjay Pillai,24CS056,EN101,English Communication,1,CSE,A,easy
Sanjay Pillai,24CS056,CS102,Digital Fundamentals,1,CSE,A,medium
Eswari Murugan,24CS057,MA101,Engineering Mathematics I,1,CSE,A,medium
Eswari Murugan,24CS057,PH101,Engineering Physics,1,CSE,A,easy
Eswari Murugan,24CS057,CS101,Problem Solving & C,1,CSE,A,hard
Eswari Murugan,24CS057,EN101,English Communication,1,CSE,A,easy
Eswari Murugan,24CS057,CS102,Digital Fundamentals,1,CSE,A,medium
Zara Reddy,24CS058,MA101,Engineering Mathematics I,1,CSE,A,medium
Zara Reddy,24CS058,PH101,Engineering Physics,1,CSE,A,easy
Zara Reddy,24CS058,CS101,Problem Solving & C,1,CSE,A,hard
Zara Reddy,24CS058,EN101,English Communication,1,CSE,A,easy
Zara Reddy,24CS058,CS102,Digital Fundamentals,1,CSE,A,medium
Priya Reddy,24CS059,MA101,Engineering Mathematics I,1,CSE,A,medium
Priya Reddy,24CS059,PH101,Engineering Physics,1,CSE,A,easy
Priya Reddy,24CS059,CS101,Problem Solving & C,1,CSE,A,hard
Priya Reddy,24CS059,EN101,English Communication,1,CSE,A,easy
Priya Reddy,24CS059,CS102,Digital Fundamentals,1,CSE,A,medium
Pradeep Chandrasekaran,24CS060,MA101,Engineering Mathematics I,1,CSE,A,medium
Pradeep Chandrasekaran,24CS060,PH101,Engineering Physics,1,CSE,A,easy
Pradeep Chandrasekaran,24CS060,CS101,Problem Solving & C,1,CSE,A,hard
Pradeep Chandrasekaran,24CS060,EN101,English Communication,1,CSE,A,easy
Pradeep Chandrasekaran,24CS060,CS102,Digital Fundamentals,1,CSE,A,medium
Madhan Venkatesh,24CS061,MA101,Engineering Mathematics I,1,CSE,A,medium
Madhan Venkatesh,24CS061,PH101,Engineering Physics,1,CSE,A,easy
Madhan Venkatesh,24CS061,CS101,Problem Solving & C,1,CSE,A,hard
Madhan Venkatesh,24CS061,EN101,English Communication,1,CSE,A,easy
Madhan Venkatesh,24CS061,CS102,Digital Fundamentals,1,CSE,A,medium
Priya Chandrasekaran,24CS062,MA101,Engineering Mathematics I,1,CSE,A,medium
Priya Chandrasekaran,24CS062,PH101,Engineering Physics,1,CSE,A,easy
Priya Chandrasekaran,24CS062,CS101,Problem Solving & C,1,CSE,A,hard
Priya Chandrasekaran,24CS062,EN101,English Communication,1,CSE,A,easy
Priya Chandrasekaran,24CS062,CS102,Digital Fundamentals,1,CSE,A,medium
Pavithra Selvam,24CS063,MA101,Engineering Mathematics I,1,CSE,A,medium
Pavithra Selvam,24CS063,PH101,Engineering Physics,1,CSE,A,easy
Pavithra Selvam,24CS063,CS101,Problem Solving & C,1,CSE,A,hard
Pavithra Selvam,24CS063,EN101,English Communication,1,CSE,A,easy
Pavithra Selvam,24CS063,CS102,Digital Fundamentals,1,CSE,A,medium
Pavithra Murugan,24CS064,MA101,Engineering Mathematics I,1,CSE,A,medium
Pavithra Murugan,24CS064,PH101,Engineering Physics,1,CSE,A,easy
Pavithra Murugan,24CS064,CS101,Problem Solving & C,1,CSE,A,hard
Pavithra Murugan,24CS064,EN101,English Communication,1,CSE,A,easy
Pavithra Murugan,24CS064,CS102,Digital Fundamentals,1,CSE,A,medium
Suresh Iyer,24CS065,MA101,Engineering Mathematics I,1,CSE,A,medium
Suresh Iyer,24CS065,PH101,Engineering Physics,1,CSE,A,easy
Suresh Iyer,24CS065,CS101,Problem Solving & C,1,CSE,A,hard
Suresh Iyer,24CS065,EN101,English Communication,1,CSE,A,easy
Suresh Iyer,24CS065,CS102,Digital Fundamentals,1,CSE,A,medium
Kavya Natarajan,24CS066,MA101,Engineering Mathematics I,1,CSE,A,medium
Kavya Natarajan,24CS066,PH101,Engineering Physics,1,CSE,A,easy
Kavya Natarajan,24CS066,CS101,Problem Solving & C,1,CSE,A,hard
Kavya Natarajan,24CS066,EN101,English Communication,1,CSE,A,easy
Kavya Natarajan,24CS066,CS102,Digital Fundamentals,1,CSE,A,medium
Eswari Patel,24CS067,MA101,Engineering Mathematics I,1,CSE,A,medium
Eswari Patel,24CS067,PH101,Engineering Physics,1,CSE,A,easy
Eswari Patel,24CS067,CS101,Problem Solving & C,1,CSE,A,hard
Eswari Patel,24CS067,EN101,English Communication,1,CSE,A,easy
Eswari Patel,24CS067,CS102,Digital Fundamentals,1,CSE,A,medium
Aryan Palaniswamy,24CS068,MA101,Engineering Mathematics I,1,CSE,A,medium
Aryan Palaniswamy,24CS068,PH101,Engineering Physics,1,CSE,A,easy
Aryan Palaniswamy,24CS068,CS101,Problem Solving & C,1,CSE,A,hard
Aryan Palaniswamy,24CS068,EN101,English Communication,1,CSE,A,easy
Aryan Palaniswamy,24CS068,CS102,Digital Fundamentals,1,CSE,A,medium
Ishaan Reddy,24CS069,MA101,Engineering Mathematics I,1,CSE,A,medium
Ishaan Reddy,24CS069,PH101,Engineering Physics,1,CSE,A,easy
Ishaan Reddy,24CS069,CS101,Problem Solving & C,1,CSE,A,hard
Ishaan Reddy,24CS069,EN101,English Communication,1,CSE,A,easy
Ishaan Reddy,24CS069,CS102,Digital Fundamentals,1,CSE,A,medium
Krithika Srinivasan,24CS070,MA101,Engineering Mathematics I,1,CSE,A,medium
Krithika Srinivasan,24CS070,PH101,Engineering Physics,1,CSE,A,easy
Krithika Srinivasan,24CS070,CS101,Problem Solving & C,1,CSE,A,hard
Krithika Srinivasan,24CS070,EN101,English Communication,1,CSE,A,easy
Krithika Srinivasan,24CS070,CS102,Digital Fundamentals,1,CSE,A,medium
Vinay Ramasamy,24CS071,MA101,Engineering Mathematics I,1,CSE,A,medium
Vinay Ramasamy,24CS071,PH101,Engineering Physics,1,CSE,A,easy
Vinay Ramasamy,24CS071,CS101,Problem Solving & C,1,CSE,A,hard
Vinay Ramasamy,24CS071,EN101,English Communication,1,CSE,A,easy
Vinay Ramasamy,24CS071,CS102,Digital Fundamentals,1,CSE,A,medium
Deepak Murugan,24CS072,MA101,Engineering Mathematics I,1,CSE,A,medium
Deepak Murugan,24CS072,PH101,Engineering Physics,1,CSE,A,easy
Deepak Murugan,24CS072,CS101,Problem Solving & C,1,CSE,A,hard
Deepak Murugan,24CS072,EN101,English Communication,1,CSE,A,easy
Deepak Murugan,24CS072,CS102,Digital Fundamentals,1,CSE,A,medium
Tamil Ramasamy,24CS073,MA101,Engineering Mathematics I,1,CSE,A,medium
Tamil Ramasamy,24CS073,PH101,Engineering Physics,1,CSE,A,easy
Tamil Ramasamy,24CS073,CS101,Problem Solving & C,1,CSE,A,hard
